MedicationNdcCode;MedicationName;ActivePrinciplesAll;MedStrength1;ActivePrinciple1;ActivePricipleUnique1;ActivePrincipleOrder1;MedStrength2;ActivePrinciple2;ActivePricipleUnique2;ActivePrincipleOrder2;MedStrength3;ActivePrinciple3;ActivePricipleUnique3;ActivePrincipleOrder3;MedStrength4;ActivePrinciple4;ActivePricipleUnique4;ActivePrincipleOrder4;Rectal;Inhalation;Sublingual;Nasal;Transdermal;Injectable;Vaginal;Oral;Ophtalmic;Otic;Topical;Vaccine;Syrup;Ointment;Cream;Liquid;Tablet;Caps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74312005315;5-HTP (5-hydroxytryptophan) oral capsule;5_hydroxytryptophan|||;50;5_hydroxytryptophan;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00173066100;Ziagen (abacavir) oral tablet;abacavir|||;300;abacavir;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35356007560;Ziagen (abacavir) oral tablet;abacavir|||;300;abacavir;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54868452200;Ziagen (abacavir) oral tablet;abacavir|||;300;abacavir;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00173069100;Trizivir (abacavir/lamiVUDine/zidovudine) oral tablet;abacavir|lamivudine|zidovudine|;300;abacavir;0;1;150;lamivudine;0;2;300;zidovudine;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00173074200;Epzicom (abacavir-lamiVUDine) oral tablet;abacavir|lamivudine||;600;abacavir;0;1;300;lamivudine;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49702020613;Epzicom (abacavir-lamiVUDine) oral tablet;abacavir|lamivudine||;600;abacavir;0;1;300;lamivudine;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00456333001;Campral (acamprosate) oral enteric coated tablet;acamprosate|||;333;acamprosate;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00456333060;Campral (acamprosate) oral enteric coated tablet;acamprosate|||;333;acamprosate;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00115115001;Acarbose oral tablet;acarbose|||;25;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00115115201;Acarbose oral tablet;acarbose|||;100;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16252052301;Acarbose oral tablet;acarbose|||;25;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16252052401;Acarbose oral tablet;acarbose|||;50;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54868594500;Acarbose oral tablet;acarbose|||;25;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00026286148;Precose (acarbose) oral tablet;acarbose|||;50;acarbose;1;1;;;0;2;;;0;3;;;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
