ICD9Code,level2,level1,icd9_3d
"550",AbdominalHernia,,"550"
"550.00",AbdominalHernia,,"550"
"550.01",AbdominalHernia,,"550"
"550.02",AbdominalHernia,,"550"
"550.03",AbdominalHernia,,"550"
"550.10",AbdominalHernia,,"550"
"550.11",AbdominalHernia,,"550"
"550.12",AbdominalHernia,,"550"
"550.13",AbdominalHernia,,"550"
"550.9",AbdominalHernia,,"550"
"550.90",AbdominalHernia,,"550"
"550.91",AbdominalHernia,,"550"
"550.92",AbdominalHernia,,"550"
"550.93",AbdominalHernia,,"550"
"551.00",AbdominalHernia,,"551"
"551.01",AbdominalHernia,,"551"
"551.02",AbdominalHernia,,"551"
"551.03",AbdominalHernia,,"551"
"551.1",AbdominalHernia,,"551"
"551.20",AbdominalHernia,,"551"
"551.21",AbdominalHernia,,"551"
"551.29",AbdominalHernia,,"551"
"551.3",AbdominalHernia,,"551"
"551.8",AbdominalHernia,,"551"
"551.9",AbdominalHernia,,"551"
"552.00",AbdominalHernia,,"552"
"552.01",AbdominalHernia,,"552"
"552.02",AbdominalHernia,,"552"
"552.03",AbdominalHernia,,"552"
"552.1",AbdominalHernia,,"552"
"552.2",AbdominalHernia,,"552"
"552.20",AbdominalHernia,,"552"
"552.21",AbdominalHernia,,"552"
"552.29",AbdominalHernia,,"552"
"552.3",AbdominalHernia,,"552"
"552.8",AbdominalHernia,,"552"
"552.9",AbdominalHernia,,"552"
"553",AbdominalHernia,,"553"
"553.00",AbdominalHernia,,"553"
"553.01",AbdominalHernia,,"553"
"553.02",AbdominalHernia,,"553"
"553.03",AbdominalHernia,,"553"
"553.1",AbdominalHernia,,"553"
"553.2",AbdominalHernia,,"553"
"553.20",AbdominalHernia,,"553"
"553.21",AbdominalHernia,,"553"
"553.29",AbdominalHernia,,"553"
"553.3",AbdominalHernia,,"553"
"553.8",AbdominalHernia,,"553"
"553.9",AbdominalHernia,,"553"
"789",AbdominalPain,DMSympton,"789"
"789.0",AbdominalPain,DMSympton,"789"
"789.00",AbdominalPain,DMSympton,"789"
"789.01",AbdominalPain,DMSympton,"789"
"789.02",AbdominalPain,DMSympton,"789"
"789.03",AbdominalPain,DMSympton,"789"
"789.04",AbdominalPain,DMSympton,"789"
"789.05",AbdominalPain,DMSympton,"789"
"789.06",AbdominalPain,DMSympton,"789"
"789.07",AbdominalPain,DMSympton,"789"
"789.09",AbdominalPain,DMSympton,"789"
"V65.42",AbuseMonotoring,,"V65"
"706.0",Acne,SkinInflammatory,"706"
"706.1",Acne,SkinInflammatory,"706"
"466",AcuteBronchitis,RespInfec,"466"
"466.0",AcuteBronchitis,RespInfec,"466"
"466.1",AcuteBronchitis,RespInfec,"466"
"466.11",AcuteBronchitis,RespInfec,"466"
"466.19",AcuteBronchitis,RespInfec,"466"
"595",AcuteCystitis,DMSympton,"595"
"595.0",AcuteCystitis,DMSympton,"595"
"595.89",AcuteCystitis,DMSympton,"595"
"595.9",AcuteCystitis,DMSympton,"595"
"599.0",AcuteCystitis,DMSympton,"599"
"309.21",,,"309"
"309.22",,,"309"
"309.23",,,"309"
"309.24",,,"309"
"309.28",,,"309"
"309.29",,,"309"
"309.3",,,"309"
"309.4",,,"309"
"309.8",,,"309"
"309.81",,,"309"
"309.82",,,"309"
"309.83",,,"309"
"309.89",,,"309"
"309.9",,,"309"
"291.0",Alcohol,,"291"
"291.1",Alcohol,,"291"
"291.2",Alcohol,,"291"
"291.3",Alcohol,,"291"
"291.4",Alcohol,,"291"
"291.5",Alcohol,,"291"
"291.8",Alcohol,,"291"
"291.81",Alcohol,,"291"
"291.82",Alcohol,,"291"
"291.89",Alcohol,,"291"
"291.9",Alcohol,,"291"
"303",Alcohol,,"303"
"303.00",Alcohol,,"303"
"303.01",Alcohol,,"303"
"303.02",Alcohol,,"303"
"303.03",Alcohol,,"303"
"303.9",Alcohol,,"303"
"303.90",Alcohol,,"303"
"303.91",Alcohol,,"303"
"303.92",Alcohol,,"303"
"303.93",Alcohol,,"303"
"305.0",Alcohol,,"305"
"305.00",Alcohol,,"305"
"305.01",Alcohol,,"305"
"305.02",Alcohol,,"305"
"305.03",Alcohol,,"305"
"571",Alcohol,,"571"
"571.0",Alcohol,,"571"
"571.1",Alcohol,,"571"
"571.2",Alcohol,,"571"
"571.3",Alcohol,,"571"
"V11.3",Alcohol,,"V11"
"V79.1",Alcohol,,"V79"
"477.1",Allergy,,"477"
"518.6",Allergy,,"518"
"558.3",Allergy,,"558"
"692.0",Allergy,,"692"
"692.1",Allergy,,"692"
"692.2",Allergy,,"692"
"692.3",Allergy,,"692"
"692.4",Allergy,,"692"
"692.5",Allergy,,"692"
"692.6",Allergy,,"692"
"692.7",Allergy,,"692"
"692.70",Allergy,,"692"
"692.71",Allergy,,"692"
"692.72",Allergy,,"692"
"692.73",Allergy,,"692"
"692.74",Allergy,,"692"
"692.79",Allergy,,"692"
"692.8",Allergy,,"692"
"692.81",Allergy,,"692"
"692.82",Allergy,,"692"
"692.83",Allergy,,"692"
"692.84",Allergy,,"692"
"692.89",Allergy,,"692"
"693.0",Allergy,,"693"
"693.1",Allergy,,"693"
"693.8",Allergy,,"693"
"693.9",Allergy,,"693"
"995.0",Allergy,,"995"
"995.3",Allergy,,"995"
"995.60",Allergy,,"995"
"995.61",Allergy,,"995"
"995.62",Allergy,,"995"
"995.63",Allergy,,"995"
"995.64",Allergy,,"995"
"995.65",Allergy,,"995"
"995.66",Allergy,,"995"
"995.67",Allergy,,"995"
"995.68",Allergy,,"995"
"995.69",Allergy,,"995"
"995.7",Allergy,,"995"
"V07.1",Allergy,,"V07"
"V14.0",Allergy,,"V14"
"V14.1",Allergy,,"V14"
"V14.2",Allergy,,"V14"
"V14.3",Allergy,,"V14"
"V14.4",Allergy,,"V14"
"V14.5",Allergy,,"V14"
"V14.6",Allergy,,"V14"
"V14.7",Allergy,,"V14"
"V14.8",Allergy,,"V14"
"V14.9",Allergy,,"V14"
"V15.0",Allergy,,"V15"
"V15.01",Allergy,,"V15"
"V15.02",Allergy,,"V15"
"V15.03",Allergy,,"V15"
"V15.04",Allergy,,"V15"
"V15.05",Allergy,,"V15"
"V15.06",Allergy,,"V15"
"V15.07",Allergy,,"V15"
"V15.08",Allergy,,"V15"
"V15.09",Allergy,,"V15"
"410",AMI,IschemicCardiopathy,"410"
"410.0",AMI,IschemicCardiopathy,"410"
"410.00",AMI,IschemicCardiopathy,"410"
"410.01",AMI,IschemicCardiopathy,"410"
"410.02",AMI,IschemicCardiopathy,"410"
"410.1",AMI,IschemicCardiopathy,"410"
"410.10",AMI,IschemicCardiopathy,"410"
"410.11",AMI,IschemicCardiopathy,"410"
"410.12",AMI,IschemicCardiopathy,"410"
"410.2",AMI,IschemicCardiopathy,"410"
"410.20",AMI,IschemicCardiopathy,"410"
"410.21",AMI,IschemicCardiopathy,"410"
"410.22",AMI,IschemicCardiopathy,"410"
"410.3",AMI,IschemicCardiopathy,"410"
